name,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Ben Winterburn,3,MID,45,0.0,0.0,100.0,0,0.0,4.0,0.6666666666666667,0
Benjamin Arthur,1,DEF,40,0.0,-100.0,140.0,0,0.0,0.0,0.0,0
Benjamin Arthur,2,DEF,40,0.0,-220.0,-40.0,1,0.0,0.0,0.0,0
Benjamin Arthur,3,DEF,40,1.0,30.0,240.0,0,0.0,0.0,0.0,0
Benjamin Fredrick,1,DEF,40,0.0,-100.0,140.0,0,0.0,0.0,0.0,0
Benjamin Fredrick,2,DEF,40,0.0,-220.0,-40.0,1,0.0,0.0,0.0,0
Benjamin Fredrick,3,DEF,40,1.0,30.0,240.0,0,0.0,0.0,0.0,0
Benjamin Lecomte,1,GK,40,0.0,-80.0,30.0,0,0.0,0.0,0.0,0
Benjamin Lecomte,2,GK,40,0.0,-10.0,10.0,1,0.0,0.0,0.0,0
Benjamin Lecomte,3,GK,40,-1.0,-90.0,-30.0,0,0.0,0.0,0.0,0
Benjamin Sesko,1,FWD,75,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,1
Benjamin Sesko,2,FWD,75,0.0,-10.0,10.0,0,3.2,25.0,1.0,1
Benjamin Sesko,3,FWD,75,1.0,60.0,50.0,1,2.3000000000000003,29.0,1.0,1
Benjamin White,1,DEF,55,1.0,250.0,190.0,0,0.0,0.0,0.0,6
Benjamin White,2,DEF,55,2.0,250.0,240.0,1,2.8,70.0,6.0,0
Benjamin White,3,DEF,55,-1.0,-30.0,10.0,0,1.8666666666666667,46.66666666666667,4.0,0
Benoît Badiashile Mukinayi,1,DEF,45,1.0,-40.0,90.0,1,0.0,0.0,0.0,0
Benoît Badiashile Mukinayi,2,DEF,45,1.0,90.0,200.0,0,0.0,0.0,0.0,0
Benoît Badiashile Mukinayi,3,DEF,44,1.0,30.0,90.0,1,0.0,0.0,0.0,0
Bernardo Mota Veiga de Carvalho e Silva,1,MID,65,1.0,130.0,300.0,0,0.0,0.0,0.0,3
Bernardo Mota Veiga de Carvalho e Silva,2,MID,65,1.0,0.0,200.0,1,8.8,65.0,3.0,1
Bernardo Mota Veiga de Carvalho e Silva,3,MID,64,1.0,40.0,290.0,0,6.200000000000001,55.333333333333336,2.3333333333333335,2
Bernd Leno,1,GK,50,0.0,-80.0,30.0,0,0.0,0.0,0.0,3
Bernd Leno,2,GK,50,0.0,-10.0,10.0,1,2.4,90.0,3.0,3
Bernd Leno,3,GK,50,-1.0,-90.0,-30.0,0,2.3666666666666667,90.0,3.0,2
Blondy Nna Noukeu,1,GK,40,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Blondy Nna Noukeu,2,GK,40,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Blondy Nna Noukeu,3,GK,40,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Borna Sosa,1,DEF,50,-1.0,-90.0,40.0,0,0.0,0.0,0.0,0
Borna Sosa,2,DEF,50,0.0,-60.0,-70.0,1,0.0,0.0,0.0,0
Borna Sosa,3,DEF,50,0.0,-10.0,80.0,0,0.0,0.0,0.0,0
Boubacar Kamara,1,MID,50,-1.0,-210.0,-30.0,1,0.0,0.0,0.0,2
Boubacar Kamara,2,MID,50,0.0,40.0,220.0,0,3.3,90.0,2.0,1
Boubacar Kamara,3,MID,49,0.0,-80.0,10.0,1,2.3333333333333335,65.0,1.6666666666666667,0
Boubacar Traoré,1,MID,50,-1.0,-300.0,-130.0,1,0.0,0.0,0.0,0
Boubacar Traoré,2,MID,50,0.0,-100.0,50.0,0,0.0,0.0,0.0,0
Boubacar Traoré,3,MID,50,0.0,-10.0,-20.0,1,0.0,0.0,0.0,0
Bradley Burrowes,2,MID,45,0.0,40.0,220.0,0,0.0,0.0,0.0,0
Bradley Burrowes,3,MID,45,0.0,-80.0,10.0,1,0.0,0.0,0.0,1
Brajan Gruda,1,MID,55,0.0,-30.0,80.0,1,0.0,0.0,0.0,1
Brajan Gruda,2,MID,55,0.0,80.0,70.0,0,0.5,7.0,1.0,1
Brajan Gruda,3,MID,54,-1.0,-290.0,-40.0,1,0.5,6.333333333333334,1.0,8
Brandon Austin,1,GK,40,1.0,50.0,110.0,1,0.0,0.0,0.0,0
Brandon Austin,2,GK,40,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Brandon Austin,3,GK,40,0.0,-100.0,0.0,1,0.0,0.0,0.0,0
Brayden Clarke,1,DEF,40,1.0,250.0,190.0,0,0.0,0.0,0.0,0
Brayden Clarke,2,DEF,40,2.0,250.0,240.0,1,0.0,0.0,0.0,0
Brayden Clarke,3,DEF,40,-1.0,-30.0,10.0,0,0.0,0.0,0.0,0
Brenden Aaronson,1,MID,55,-1.0,-40.0,-90.0,1,0.0,0.0,0.0,1
Brenden Aaronson,2,MID,55,-2.0,-240.0,-250.0,0,4.0,23.0,1.0,1
Brenden Aaronson,3,MID,54,-2.0,-270.0,-120.0,1,2.766666666666667,23.333333333333336,1.0,1
Brennan Johnson,1,MID,70,1.0,50.0,110.0,1,0.0,0.0,0.0,8
Brennan Johnson,2,MID,70,-1.0,-200.0,0.0,0,8.8,79.0,8.0,9
Brennan Johnson,3,MID,71,0.0,-100.0,0.0,1,8.533333333333335,78.33333333333334,8.333333333333334,1
Bruno Borges Fernandes,1,MID,90,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,2
Bruno Borges Fernandes,2,MID,90,0.0,-10.0,10.0,0,10.0,90.0,2.0,2
Bruno Borges Fernandes,3,MID,90,1.0,60.0,50.0,1,8.366666666666667,90.0,2.0,10
Bruno Guimarães Rodriguez Moura,1,MID,65,1.0,30.0,210.0,0,0.0,0.0,0.0,3
Bruno Guimarães Rodriguez Moura,2,MID,65,-1.0,-250.0,-90.0,1,3.2,90.0,3.0,6
Bruno Guimarães Rodriguez Moura,3,MID,65,2.0,120.0,270.0,0,4.2,90.0,4.0,3
Bryan Gil Salvatierra,1,MID,50,1.0,50.0,110.0,1,0.0,0.0,0.0,0
